letter,position,percent1,delta,x,y
d,4,0.07575757575757576,0.045454545454545456,6,2
d,4,0.10606060606060606,0.06060606060606061,9,2
d,2,0.09090909090909091,0.030303030303030304,3,3
d,2,0.07575757575757576,0.015151515151515152,2,5
d,6,0.10606060606060606,0.045454545454545456,3,2
d,6,0.10606060606060606,0.015151515151515152,1,6
d,4,0.07575757575757576,0.015151515151515152,5,4
d,2,0.09090909090909091,0.030303030303030304,3,3
d,4,0.10606060606060606,0.015151515151515152,1,11
d,6,0.09090909090909091,0.015151515151515152,1,5
d,2,0.10606060606060606,0.06060606060606061,8,2
d,2,0.12121212121212122,0.015151515151515152,2,8
d,8,0.10606060606060606,0.015151515151515152,2,5
d,4,0.10606060606060606,0.015151515151515152,1,11
d,2,0.10606060606060606,0.06060606060606061,6,2
d,3,0.10606060606060606,0.06060606060606061,0,7
d,4,0.10606060606060606,0.06060606060606061,7,2
d,4,0.09090909090909091,0.015151515151515152,1,10
d,2,0.10606060606060606,0.06060606060606061,5,2
d,6,0.09090909090909091,0.06060606060606061,4,1
d,2,0.07575757575757576,0.015151515151515152,2,5
d,8,0.09090909090909091,0.015151515151515152,2,4
d,2,0.09090909090909091,0.045454545454545456,4,2
d,6,0.07575757575757576,0.030303030303030304,1,4
d,4,0.13636363636363635,0.060606060606060594,5,5
d,2,0.15151515151515152,0.045454545454545456,9,3
d,2,0.15151515151515152,0.045454545454545456,8,3
d,2,0.15151515151515152,0.045454545454545456,6,3
