letter,position,percent1,delta,x,y
x,4,0.063829787,0.063829787,2,1
o,4,0.22,0.06,4,4
y,6,0.058823529,-0.549019608,5,0
m,8,0.287671233,0.054794521,9,4
b,6,0.133333333,0.016666667,2,8
w,4,0.194029851,0.014925373,3,6
c,6,0.318181818,0.136363636,6,2
s,4,0.069767442,0.023255814,1,3
d,8,0.166666667,0.015151515,2,9
l,4,0.233333333,0.133333333,3,2
f,2,0.2,0.12,6,2
u,5,0.063829787,0.042553191,6,0
s,2,0.209302326,0.093023256,6,2
s,8,0.139534884,0.069767442,3,2
j,2,0.19047619,0.047619048,3,4
h,2,0.244897959,0.040816327,3,10
e,8,0.0625,-0.666666667,7,0
v,4,0.131578947,0.131578947,6,1
o,4,0.08,0.04,3,2
r,2,0.148148148,0.148148148,4,1
n,2,0.296296296,0.055555556,5,5
v,4,0.289473684,0.131578947,7,2
u,2,0.063829787,0.063829787,4,1
k,2,0.174603175,0.015873016,5,8
k,3,0.206349206,0.047619048,0,9
i,8,0.3,0.066666667,5,3
o,4,0.26,0.08,6,3
l,4,0.266666667,0.033333333,2,4
x,8,0.042553191,0.042553191,2,1
e,8,0.208333333,0.041666667,3,6
p,6,0.257575758,0.075757576,8,3
s,2,0.23255814,0.046511628,2,7
p,4,0.121212121,0.060606061,3,1
l,6,0.166666667,0.033333333,2,4
w,6,0.208955224,0.044776119,3,8
u,8,0.319148936,0.042553191,3,5
q,3,0.089552239,0.089552239,0,5
u,2,0.276595745,0.063829787,6,4
w,8,0.029850746,-0.223880597,5,0
f,6,0.1,0.04,3,2
x,6,0.255319149,0.042553191,3,5
h,1,0.183673469,0.163265306,7,0
g,4,0.102564103,0.038461538,3,2
d,8,0.060606061,0.03030303,2,2
f,2,0.08,0.08,6,1
a,5,0.12,0.12,6,0
q,8,0.28358209,0.089552239,7,3
q,2,0.23880597,0.059701493,7,2
b,2,0.083333333,0.033333333,2,7
u,2,0.063829787,0.063829787,5,1
w,5,0.208955224,0.104477612,8,0
g,1,0.051282051,0.051282051,6,0
p,6,0.090909091,0.03030303,1,10
a,2,0.16,0.04,5,3
o,4,0.22,0.06,4,4
v,7,0.105263158,0.052631579,0,6
e,6,0.166666667,0.104166667,8,1
e,6,0.145833333,0.041666667,2,4
d,7,0.060606061,0.060606061,0,5
o,4,0.22,0.06,4,4
u,3,0.255319149,0.106382979,0,7
i,7,0.166666667,0.166666667,0,6
u,4,0.063829787,0.063829787,2,1
z,6,0.162790698,0.162790698,8,1
v,8,0.052631579,0.026315789,2,6
w,4,0.223880597,0.059701493,6,3
h,2,0.040816327,0.040816327,7,1
b,4,0.166666667,0.05,8,3
g,8,0.076923077,0.038461538,3,2
e,8,0.166666667,0.104166667,7,1
d,6,0.287878788,0.106060606,8,2
o,4,0.08,0.08,5,1
t,8,0.324324324,0.054054054,2,7
v,2,0.236842105,0.105263158,6,2
v,2,0.105263158,0.105263158,5,1
o,6,0.24,0.02,2,7
d,8,0.181818182,0.060606061,5,2
w,8,0.313432836,0.089552239,8,4
f,4,0.2,0.12,8,2
j,6,0.238095238,0.047619048,1,10
m,6,0.136986301,0.136986301,9,1
g,4,0.269230769,0.064102564,5,4
s,8,0.11627907,0.069767442,4,1
z,8,0.046511628,0.023255814,2,2
c,2,0.068181818,0.045454545,3,2
g,2,0.230769231,0.025641026,4,5
d,4,0.060606061,0.045454545,4,5
j,8,0.166666667,0.047619048,4,2
s,6,0.23255814,0.046511628,3,3
j,6,0.214285714,0.119047619,5,1
m,6,0.095890411,0.095890411,6,1
p,8,0.257575758,0.045454545,4,8
b,6,0.183333333,0.033333333,3,5
p,2,0.227272727,0.121212121,8,1
s,6,0.093023256,0.046511628,2,1
s,6,0.302325581,0.093023256,5,2
d,6,0.227272727,0.03030303,3,5
v,2,0.289473684,0.131578947,7,2
k,2,0.222222222,0.047619048,4,11
w,2,0.194029851,0.089552239,8,2
f,2,0.08,0.08,7,1
d,6,0.196969697,0.03030303,2,6
n,2,0.259259259,0.055555556,4,5
b,2,0.133333333,0.033333333,7,4
s,2,0.11627907,0.046511628,4,2
r,6,0.111111111,0.037037037,1,8
s,8,0.255813953,0.023255814,2,8
g,4,0.115384615,0.025641026,1,9
n,4,0.12962963,0.12962963,7,1
k,8,0.285714286,0.079365079,7,3
z,8,0.11627907,0.046511628,4,2
t,4,0.054054054,0.054054054,4,1
z,8,0.046511628,0.046511628,3,1
v,2,0.157894737,0.157894737,7,1
u,8,0.234042553,0.14893617,6,1
q,4,0.268656716,0.074626866,9,2
